filename, language, Properties, YAML, HTML, Makefile, Markdown, pip requirements, Python, Ini, JSON, Shell Script, JavaScript React, TypeScript, CSS, JavaScript, comment, blank, total
c:\Users\benro\Documents\workspaces\senior-design\.circleci\config.yml, YAML, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
c:\Users\benro\Documents\workspaces\senior-design\.isort.cfg, Properties, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
c:\Users\benro\Documents\workspaces\senior-design\.pre-commit-config.yaml, YAML, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 67
c:\Users\benro\Documents\workspaces\senior-design\Makefile, Makefile, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 87
c:\Users\benro\Documents\workspaces\senior-design\README.md, Markdown, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\Database.md, Markdown, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 74
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\README.md, Markdown, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\backups\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\backups\backup_job.sh, Shell Script, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 6
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\backups\backup_server.py, Python, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 22, 41, 171
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\backups\backups_manager.py, Python, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 7, 22, 93
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\backups\credentials.json, JSON, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\backups\email_manager.py, Python, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 8, 13, 43
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\backups\routes_backups.py, Python, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 3, 26, 105
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\backups\test.py, Python, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 8, 6, 34
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\change_plans\ChangePlanAPI.md, Markdown, 0, 0, 0, 0, 338, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 347
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\change_plans\change_plan_action_manager.py, Python, 0, 0, 0, 0, 0, 0, 281, 0, 0, 0, 0, 0, 0, 0, 1, 43, 325
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\change_plans\change_plan_manager.py, Python, 0, 0, 0, 0, 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 3, 22, 183
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\change_plans\change_plan_validator.py, Python, 0, 0, 0, 0, 0, 0, 387, 0, 0, 0, 0, 0, 0, 0, 4, 66, 457
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\change_plans\routes_change_plans.py, Python, 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 33, 47, 216
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\constants.py, Python, 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 11, 19, 125
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\dal\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\dal\change_plan_action_table.py, Python, 0, 0, 0, 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 9, 33, 204
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\dal\change_plan_table.py, Python, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 4, 22, 101
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\dal\database.py, Python, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 5, 11
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\dal\datacenter_table.py, Python, 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 4, 30, 122
c:\Users\benro\Documents\workspaces\senior-design\ReactAndFlask\flask-backend\app\dal\decommission_table.py, Python, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 2, 14, 102
