Date : 2020-04-14 13:05:08
Directory : c:\Users\benro\Documents\workspaces\senior-design
Total : 216 files,  19785 codes, 979 comments, 3126 blanks, all 23890 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JavaScript React |         67 |      9,838 |        155 |      1,138 |     11,131 |
| Python           |         89 |      7,166 |        749 |      1,768 |      9,683 |
| Markdown         |         13 |      1,655 |          0 |        105 |      1,760 |
| JSON             |          6 |        436 |          0 |          6 |        442 |
| pip requirements |          2 |        144 |          8 |          3 |        155 |
| CSS              |          8 |        133 |          2 |         32 |        167 |
| TypeScript       |         13 |        108 |          1 |         13 |        122 |
| JavaScript       |          6 |        106 |         39 |         19 |        164 |
| YAML             |          2 |         78 |          0 |         11 |         89 |
| Makefile         |          1 |         72 |          0 |         15 |         87 |
| HTML             |          4 |         29 |         23 |          7 |         59 |
| Ini              |          1 |          7 |          0 |          1 |          8 |
| Shell Script     |          3 |          7 |          2 |          7 |         16 |
| Properties       |          1 |          6 |          0 |          1 |          7 |
+------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                            |        216 |     19,785 |        979 |      3,126 |     23,890 |
| .circleci                                                                                                                                    |          1 |         18 |          0 |          4 |         22 |
| ReactAndFlask                                                                                                                                |        206 |     19,469 |        971 |      3,092 |     23,532 |
| ReactAndFlask\flask-backend                                                                                                                  |        111 |      9,076 |        756 |      1,855 |     11,687 |
| ReactAndFlask\flask-backend\app                                                                                                              |         95 |      8,777 |        723 |      1,732 |     11,232 |
| ReactAndFlask\flask-backend\app\backups                                                                                                      |          8 |        307 |         48 |        113 |        468 |
| ReactAndFlask\flask-backend\app\change_plans                                                                                                 |          6 |      1,493 |         44 |        219 |      1,756 |
| ReactAndFlask\flask-backend\app\dal                                                                                                          |         12 |      1,130 |         68 |        257 |      1,455 |
| ReactAndFlask\flask-backend\app\dal\exceptions                                                                                               |          1 |          3 |          0 |          1 |          4 |
| ReactAndFlask\flask-backend\app\data_models                                                                                                  |         10 |        564 |        152 |        123 |        839 |
| ReactAndFlask\flask-backend\app\datacenters                                                                                                  |          5 |        349 |          5 |         69 |        423 |
| ReactAndFlask\flask-backend\app\decommissions                                                                                                |          4 |        283 |          5 |         37 |        325 |
| ReactAndFlask\flask-backend\app\decorators                                                                                                   |          3 |        193 |         23 |         43 |        259 |
| ReactAndFlask\flask-backend\app\exceptions                                                                                                   |          4 |         45 |          0 |         28 |         73 |
| ReactAndFlask\flask-backend\app\import_export                                                                                                |          2 |        346 |         63 |        105 |        514 |
| ReactAndFlask\flask-backend\app\instances                                                                                                    |          8 |      1,226 |         31 |        192 |      1,449 |
| ReactAndFlask\flask-backend\app\logging                                                                                                      |          3 |        239 |         30 |         91 |        360 |
| ReactAndFlask\flask-backend\app\main                                                                                                         |          2 |          4 |          0 |          3 |          7 |
| ReactAndFlask\flask-backend\app\models                                                                                                       |          5 |        542 |         15 |         76 |        633 |
| ReactAndFlask\flask-backend\app\permissions                                                                                                  |          4 |         60 |          3 |         21 |         84 |
| ReactAndFlask\flask-backend\app\racks                                                                                                        |          5 |        520 |         27 |         93 |        640 |
| ReactAndFlask\flask-backend\app\stats                                                                                                        |          5 |        297 |          2 |         53 |        352 |
| ReactAndFlask\flask-backend\app\users                                                                                                        |          7 |      1,084 |        189 |        189 |      1,462 |
| ReactAndFlask\flask-backend\models                                                                                                           |          1 |          0 |          0 |          1 |          1 |
| ReactAndFlask\flask-backend\scripts                                                                                                          |          6 |        172 |         13 |         56 |        241 |
| ReactAndFlask\flask-backend\static                                                                                                           |          4 |          4 |          5 |          4 |         13 |
| ReactAndFlask\flask-backend\static\css                                                                                                       |          1 |          1 |          1 |          1 |          3 |
| ReactAndFlask\flask-backend\static\js                                                                                                        |          3 |          3 |          4 |          3 |         10 |
| ReactAndFlask\flask-backend\templates                                                                                                        |          1 |          1 |          0 |          1 |          2 |
| ReactAndFlask\reactfrontend                                                                                                                  |         95 |     10,393 |        215 |      1,237 |     11,845 |
| ReactAndFlask\reactfrontend\public                                                                                                           |          2 |         45 |         23 |          5 |         73 |
| ReactAndFlask\reactfrontend\src                                                                                                              |         90 |     10,181 |        192 |      1,198 |     11,571 |
| ReactAndFlask\reactfrontend\src\javascript                                                                                                   |         81 |      9,992 |        186 |      1,167 |     11,345 |
